Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2019",215.22,188.17,223.35,185.92,69.27M,14.38%
"Sep 08, 2019",188.16,177.76,188.54,174.86,59.26M,5.86%
"Sep 01, 2019",177.74,171.62,182.59,166.16,60.98M,3.56%
"Aug 25, 2019",171.62,190.16,193.09,164.04,57.67M,-9.74%
"Aug 18, 2019",190.15,184.83,202.81,175.80,67.00M,2.89%
"Aug 11, 2019",184.81,205.92,216.23,106.01,82.86M,-10.26%
"Aug 04, 2019",205.93,220.89,237.47,202.35,60.50M,-6.78%
"Jul 28, 2019",220.89,206.64,223.00,199.68,51.56M,6.91%
"Jul 21, 2019",206.62,227.83,228.76,202.30,57.79M,-9.32%
"Jul 14, 2019",227.86,269.12,269.62,192.91,85.63M,-15.34%
"Jul 07, 2019",269.16,288.11,317.94,262.85,65.42M,-6.57%
"Jun 30, 2019",288.08,318.26,323.21,273.07,60.28M,-9.55%
"Jun 23, 2019",318.48,310.39,364.89,279.82,75.19M,2.61%
"Jun 16, 2019",310.38,267.74,314.00,261.76,58.55M,15.92%
"Jun 09, 2019",267.75,243.43,271.61,227.00,51.83M,9.99%
"Jun 02, 2019",243.42,264.26,272.64,235.35,58.74M,-7.90%
"May 26, 2019",264.31,250.69,287.99,241.51,92.00M,5.44%
"May 19, 2019",250.68,233.87,263.05,231.89,80.76M,7.18%
"May 12, 2019",233.89,192.17,278.52,182.81,138.47M,21.65%
"May 05, 2019",192.27,163.67,204.72,159.56,81.71M,17.47%
"Apr 28, 2019",163.68,159.43,171.04,152.60,64.81M,2.68%
"Apr 21, 2019",159.41,172.89,175.92,151.73,71.77M,-7.71%
"Apr 14, 2019",172.73,163.19,176.71,153.65,57.15M,5.84%
"Apr 07, 2019",163.19,165.58,185.54,158.93,72.32M,-1.42%
"Mar 31, 2019",165.55,142.65,177.29,140.26,138.31M,16.05%
"Mar 24, 2019",142.65,137.53,145.85,132.36,81.55M,3.73%
"Mar 17, 2019",137.53,141.15,141.87,133.05,77.10M,-2.56%
"Mar 10, 2019",141.15,137.52,143.95,129.14,78.47M,2.63%
"Mar 03, 2019",137.52,132.77,168.42,123.25,94.15M,3.59%
"Feb 24, 2019",132.76,158.31,165.79,128.15,88.08M,-16.14%
"Feb 17, 2019",158.30,122.88,159.31,122.78,59.72M,28.84%
"Feb 10, 2019",122.87,119.44,126.17,116.42,41.65M,2.87%
"Feb 03, 2019",119.44,110.67,122.58,102.28,44.09M,7.91%
"Jan 27, 2019",110.68,115.83,116.24,101.60,38.12M,-4.45%
"Jan 20, 2019",115.83,123.00,123.52,112.36,31.96M,-5.85%
