"Date","Price","Open","High","Low","Vol.","Change %"
"23/06/2019","317.77","310.92","366.16","280.18","3.54M","2.25%"
"16/06/2019","310.77","267.83","314.11","261.99","1.17M","16.05%"
"09/06/2019","267.79","243.33","271.78","226.79","308.25K","10.04%"
"02/06/2019","243.34","264.26","273.00","234.84","334.22K","-7.95%"
"26/05/2019","264.36","250.10","287.97","241.14","611.31K","5.68%"
"19/05/2019","250.16","240.62","267.00","231.49","2.47M","3.96%"
"12/05/2019","240.62","192.30","278.57","182.85","4.16M","24.68%"
"05/05/2019","193.00","163.76","204.99","159.36","4.86M","17.90%"
"28/04/2019","163.70","159.31","171.13","152.62","4.90M","2.78%"
"21/04/2019","159.27","172.88","175.57","150.50","5.34M","-7.86%"
"14/04/2019","172.85","162.99","176.62","155.86","4.27M","6.01%"
"07/04/2019","163.05","165.48","185.53","158.31","","-1.47%"
"31/03/2019","165.48","141.72","177.48","139.07","","16.79%"
"24/03/2019","141.69","137.27","145.63","131.74","","3.21%"
"17/03/2019","137.28","140.94","141.91","132.44","","-2.59%"
"10/03/2019","140.94","137.17","144.06","128.66","","2.75%"
"03/03/2019","137.17","132.54","140.18","122.85","","3.49%"
"24/02/2019","132.54","157.79","165.64","127.65","","-15.85%"
"17/02/2019","157.51","122.66","159.39","122.61","","28.41%"
"10/02/2019","122.66","119.15","126.29","115.93","","2.83%"
"03/02/2019","119.28","110.49","122.74","101.55","","7.98%"
"27/01/2019","110.47","115.51","115.80","101.09","","-4.37%"
"20/01/2019","115.51","122.61","123.23","111.49","","-5.79%"
"13/01/2019","122.61","123.37","129.30","112.13","","-0.63%"
"06/01/2019","123.39","152.86","157.37","120.50","","-19.28%"
"30/12/2018","152.85","132.88","159.00","128.71","","15.34%"
"23/12/2018","132.52","115.20","157.21","110.90","","15.00%"
"16/12/2018","115.23","83.85","118.10","83.75","","37.43%"
"09/12/2018","83.85","90.26","98.68","81.63","","-7.13%"
"02/12/2018","90.29","118.07","120.45","81.20","","-23.53%"
"25/11/2018","118.07","114.87","127.13","102.61","","2.65%"
"18/11/2018","115.02","176.37","182.38","111.77","","-34.78%"
"11/11/2018","176.37","213.22","214.32","171.46","","-17.28%"
"04/11/2018","213.22","200.44","224.37","198.77","","6.38%"
"28/10/2018","200.44","204.23","205.56","193.25","","-1.86%"
